Username,Coins
God,80
God,150
.,120
ME,200
Hm,60
God,120
.,200
Pleb,140
GOd,100
n,100
God,0
.,0
god,100
.,100
abcd,200
.,100
abcd,200
lol,200
lol,180
player,250
god,100
god,140
god,60
peep,250
peep,50
peep,10
god,120
p,115
god,120
p,200
god,130
p,320
go,120
go,20
go,10
go,19
god,80
god,60
.,120
god,80
god,90
tester,80
tester,70
tester,60
test,110
test,100
test,120
test,120
test,100
test,120
tester,90
tester,100
tester,80
tester,60
tester,40
tester,30
tester,50
tester,50
tester,40
tester,60
tester,40
tester,20
tester,20
god,110
god,120
god,130
god,150
god,130
god,110
god,130
god,120
acePLEASE,120
acePLEASE,100
acePLEASE,100
acePLEASE,110
acePLEASE,120
acePLEASE,140
acePLEASE,140
acePLEASE,160
acePLEASE,260
acePLEASE,160
acePLEASE,260
acePLEASE,260
acePLEASE,360
acePLEASE,560
acePLEASE,760
acePLEASE,560
acePLEASE,360
acePLEASE,160
acePLEASE,260
acePLEASE,60
acePLEASE,20
finalTest??,80
finalTest??,80
finalTest??,110
finalTest??,70
finalTest??,110
finalTest??,210
finalTest??,10
.,90
.,50
.,20
.,10
player007,140
Nightlight,200
player007,140
